Id,Area(total),Trooms,Nbedrooms,Nbwashrooms,Twashrooms,roof,Roof(Area),Lawn(Area),Nfloors,API,ANB,Expected price,Grade
1,339,6,5,4,6,NO,0,76,2,79,6,3481,D
2,358,5,4,3,4,YES,71,96,3,72,4,3510,D
3,324,7,5,4,5,YES,101,117,5,64,3,3748,C
4,330,6,4,3,5,YES,101,82,2,59,2,3134,D
5,320,7,4,4,5,NO,0,75,3,40,1,3843,D
6,314,8,7,6,7,YES,81,93,6,93,1,4012,B
7,332,9,8,7,9,YES,103,120,6,87,4,4503,A
8,323,9,8,7,9,NO,0,95,6,82,2,4603,A
9,351,8,6,6,8,YES,89,97,6,44,6,4599,B
10,339,6,5,5,6,NO,0,111,2,89,5,3489,D
11,308,5,3,2,3,YES,74,105,1,62,2,2660,D
12,309,6,4,4,6,NO,0,115,4,45,6,2996,D
13,324,6,5,5,7,NO,0,109,2,73,2,3082,D
14,303,5,3,2,3,NO,0,84,2,49,2,2515,E
15,321,9,6,5,7,NO,0,80,6,73,2,4440,B
16,345,8,7,6,7,YES,116,83,6,90,6,4379,A
17,307,7,6,6,7,NO,0,81,3,46,2,3409,D
18,337,6,3,2,3,YES,95,96,4,96,6,3830,C
19,333,7,4,4,5,NO,0,104,3,59,2,3762,D
20,343,9,8,7,8,NO,0,111,6,41,4,4544,A
21,322,8,7,7,8,YES,77,113,6,95,2,4310,A
22,326,7,6,5,6,NO,0,112,5,78,5,3524,C
23,329,5,4,4,6,NO,0,97,1,81,2,2693,D
24,292,6,3,2,4,YES,118,116,3,50,2,3256,D
25,298,6,5,4,5,NO,0,96,3,50,1,3684,D
26,296,8,5,5,6,NO,0,100,4,42,3,4241,D
27,354,5,4,4,6,YES,77,107,1,43,4,3617,D
28,318,8,7,6,8,YES,115,80,6,83,3,4019,B
29,301,8,6,6,8,YES,78,94,5,84,3,3925,B
30,352,5,2,2,3,NO,0,111,1,66,6,3478,D
31,348,9,8,8,9,NO,0,111,7,94,4,4915,A
32,304,9,6,5,6,NO,0,71,7,70,6,4374,B
33,308,8,6,6,7,YES,87,77,6,80,1,3766,B
34,333,8,6,6,7,YES,112,77,5,81,5,3941,B
35,336,8,7,7,9,NO,0,114,6,45,2,3937,B
36,322,5,3,2,4,YES,73,82,2,67,6,2694,D
37,303,5,3,2,4,NO,0,72,3,46,4,2846,E
38,337,5,2,1,3,NO,0,113,1,50,5,3005,D
39,336,8,5,4,5,NO,0,109,5,42,2,4528,C
40,355,5,2,1,2,NO,0,119,1,69,5,3420,D
41,299,9,8,8,10,NO,0,104,7,60,4,4229,A
42,349,9,6,6,8,NO,0,93,6,99,3,4478,B
43,310,5,4,3,5,YES,111,116,2,81,5,2786,D
44,310,5,4,3,4,YES,90,95,2,97,5,3120,D
45,322,6,3,3,4,NO,0,113,2,77,6,3866,D
46,344,9,8,7,8,YES,84,86,5,49,6,4190,A
47,338,7,4,4,6,NO,0,107,4,82,2,3894,C
48,338,8,5,5,7,YES,103,72,5,89,1,3925,B
